Column1;Column2
J瞛yk;Kod j瞛yka wed逝g ISO 639
J瞛yki indoeuropejskie;J瞛yki indoeuropejskie
j瞛yki germa雟kie;j瞛yki germa雟kie
szwedzki;sv, swe
norweski;no, nor (nb, nn, nob, nn)
du雟ki;da, dan
islandzki;is, isl
farerski;fo, fao
niemiecki;de, deu, ger
dolnoniemiecki;nds
niderlandzki;nl, nld
fryzyjski;fy, fri
luksemburski;lb, ltz
angielski;en, eng
jidysz;yi, yid
j瞛yki s這wia雟kie;j瞛yki s這wia雟kie
polski;pl, pol
kaszubski;csb
czeski;cs, ces, cze
s這wacki;sk, slo, slk
dolno逝篡cki;dsb
g鏎no逝篡cki;hsb
rosyjski;ru, rus
bia這ruski;be, bel
ukrai雟ki;uk, ukr
serbski;sr, scc, srp
chorwacki;hr, hrv
s這we雟ki;sl, slv
