Column1;Column2
Jzyk;Kod jzyka wedug ISO 639
Jzyki indoeuropejskie;Jzyki indoeuropejskie
jzyki germaskie;jzyki germaskie
szwedzki;sv, swe
norweski;no, nor (nb, nn, nob, nno)
duski;da, dan
islandzki;is, isl
farerski;fo, fao
niemiecki;de, deu, ger
dolnoniemiecki;nds
niderlandzki;nl, nld
fryzyjski;fy, fri
luksemburski;lb, ltz
angielski;en, eng
jidysz;yi, yid
jzyki sowiaskie;jzyki sowiaskie
polski;pl, pol
kaszubski;csb
czeski;cs, ces, cze
sowacki;sk, slo, slk
dolnouycki;dsb
grnouycki;hsb
rosyjski;ru, rus
biaoruski;be, bel
ukraiski;uk, ukr
serbski;sr, scc, srp
chorwacki;hr, hrv
soweski;sl, slv
