Kolumna 1;Kolumna 2;Kolumna 3;Kolumna 4
Podziaˆ pojazd¢w samochodowych;Podziaˆ pojazd¢w samochodowych;Podziaˆ pojazd¢w samochodowych;Podziaˆ pojazd¢w samochodowych
Typ samochodu;Rodzaj samochodu;Przykˆad;Zdj©cie
Samochody osobowe;Samochody sportowe;Arrinera Hussarya GT;
;Samochody miejskie;Fiat 500;
;Samochody luksusowe;Mercedes-Benz W222;
;Samochody SUV;Lexus RX;
;Samochody kempingowe;Adria Vision;
Samochody terenowe;;Honker;
Samochody dostawcze;;Iveco Daily;
Samochody ci©¾arowe;Ci©¾arowe samochody dostawcze;Star S2000;
;Ci©¾arowe samochody terenowe;Ural-4320;
;Ci¥gniki siodˆowe;Scania R420;
;Ci¥gniki balastowe;Tatra T813 6x6;
Autobusy;;Solaris InterUrbino 12;
Samochody specjalne;Samochody opancerzone;Dzik (samoch¢d);
;Po¾arowozy;E-ONE, Ford;
;½urawie samochodowe;Hydros T-351 Stalowa Wola;
;Ambulanse;Fiat Ducato (AMZ-Kutno);
;Samochody asenizacyjne;Jelcz;
;—mieciarki;MAN TGA 28.350;
;Zamiatarki;Zamiatarka na podwoziu MAZ;
;Pˆugopiaskarki;Pˆugopiaskarka na podwoziu samochodu Mitsubishi Fuso;
;Radiowozy;Ford Crown Victoria;
;Wywrotki;Jelcz 640;
;Betoniarki;;
Samochody mog¥ce porusza† si© tak¾e po torach kolejowych;Samochody mog¥ce porusza† si© tak¾e po torach kolejowych;Samoch¢d ratownictwa technicznego Star;
